location_id,pm2_5,pm10,no2,so2,o3,co,aqi
3409529,20.04,24.39,9.22,6.55,15.76,367.37,2
3409530,9,10.12,0.8,0.53,70.08,158.29,2
3410003,0.53,1.26,0.07,0.03,32.75,78.81,1
3410004,63.03,83.56,16.44,2.63,43.67,553.79,4
3410005,1.26,2.16,0.83,0.22,35.48,87.81,1
3774726,14.81,23.2,32.67,4.99,3.93,506.34,2
4296966,73.57,105.42,15.96,3.28,76.19,685.51,4
4512170,42.83,71.84,14.96,2.51,66.1,498.65,3
4515157,70.87,96.33,9.09,1.77,41.95,581.93,4
4527035,69.85,94.66,8.34,2.06,52.63,560.67,4
4527173,70.87,96.33,9.09,1.77,41.95,581.93,4
4527306,70.87,96.33,9.09,1.77,41.95,581.93,4
4527402,70.87,96.33,9.09,1.77,41.95,581.93,4
4535267,69.85,94.66,8.34,2.06,52.63,560.67,4
4554236,73.57,105.42,15.96,3.28,76.19,685.51,4
4554729,69.85,94.66,8.34,2.06,52.63,560.67,4
4555745,74.2,99.85,7.57,2.19,50.67,592.01,4
4556719,73.57,105.42,15.96,3.28,76.19,685.51,4
4557686,70.87,96.33,9.09,1.77,41.95,581.93,4
4565419,73.57,105.42,15.96,3.28,76.19,685.51,4
4565932,73.57,105.42,15.96,3.28,76.19,685.51,4
4565933,69.85,94.66,8.34,2.06,52.63,560.67,4
4566426,73.57,105.42,15.96,3.28,76.19,685.51,4
4566427,69.85,94.66,8.34,2.06,52.63,560.67,4
4567363,73.57,105.42,15.96,3.28,76.19,685.51,4
4567364,86.02,116.02,13.69,3.95,84.9,707.56,5
4567932,73.57,105.42,15.96,3.28,76.19,685.51,4
4568423,69.85,94.66,8.34,2.06,52.63,560.67,4
4568424,68.75,100.5,10.61,2.62,80.7,583.6,4
4579733,73.57,105.42,15.96,3.28,76.19,685.51,4
4600078,50.73,92.56,5.14,1.49,85.62,408.67,4
4605118,54.15,94.98,4.8,1.41,82.05,417.89,4
4605119,69.85,94.66,8.34,2.06,52.63,560.67,4
4605120,54.15,94.98,4.8,1.41,82.05,417.89,4
4607067,50.73,92.56,5.14,1.49,85.62,408.67,4
4607068,54.15,94.98,4.8,1.41,82.05,417.89,4
4608419,54.75,96.56,5.03,1.6,85.96,404.48,4
4608421,69.85,94.66,8.34,2.06,52.63,560.67,4
4608422,73.57,105.42,15.96,3.28,76.19,685.51,4
4608423,54.15,94.98,4.8,1.41,82.05,417.89,4
4609261,65.51,89.48,9.1,1.92,54.59,529.38,4
4609262,54.15,94.98,4.8,1.41,82.05,417.89,4
4609307,54.15,94.98,4.8,1.41,82.05,417.89,4
4609353,65.51,89.48,9.1,1.92,54.59,529.38,4
4609354,50.73,92.56,5.14,1.49,85.62,408.67,4
4614770,54.15,94.98,4.8,1.41,82.05,417.89,4
4616262,73.57,105.42,15.96,3.28,76.19,685.51,4
4618315,63.58,95.71,24.66,3.12,60.08,769.21,4
4618814,69.85,94.66,8.34,2.06,52.63,560.67,4
4629400,114.18,151.06,13.86,6.29,61.67,850.68,5
4629401,114.18,151.06,13.86,6.29,61.67,850.68,5
4630451,114.18,151.06,13.86,6.29,61.67,850.68,5
4645154,54.15,94.98,4.8,1.41,82.05,417.89,4
4663956,62.28,82.71,15.03,2.45,48.04,520.72,4
4698865,69.85,94.66,8.34,2.06,52.63,560.67,4
4699919,69.85,94.66,8.34,2.06,52.63,560.67,4
4700982,69.85,94.66,8.34,2.06,52.63,560.67,4
4708999,114.18,151.06,13.86,6.29,61.67,850.68,5
4710567,114.18,151.06,13.86,6.29,61.67,850.68,5
4712030,114.18,151.06,13.86,6.29,61.67,850.68,5
4712608,114.18,151.06,13.86,6.29,61.67,850.68,5
4720578,3.81,7.4,9.14,3.66,16.95,173.45,1
4721112,114.18,151.06,13.86,6.29,61.67,850.68,5
4721113,114.18,151.06,13.86,6.29,61.67,850.68,5
4722655,114.18,151.06,13.86,6.29,61.67,850.68,5
4723667,114.18,151.06,13.86,6.29,61.67,850.68,5
4725232,117.06,152.97,17.98,6.03,58.5,957.07,5
4755317,49.84,103.7,3.36,8.59,100.69,279.22,4
4756281,51.01,100.15,3.78,9.94,102.36,284.02,4
4757305,69.85,94.66,8.34,2.06,52.63,560.67,4
4757794,45.27,94.73,3.56,8.77,99.65,268.38,3
4758328,45.27,94.73,3.56,8.77,99.65,268.38,3
4760841,49.84,103.7,3.36,8.59,100.69,279.22,4
4767239,51.01,100.15,3.78,9.94,102.36,284.02,4
4769229,51.01,100.15,3.78,9.94,102.36,284.02,4
4770827,49.84,103.7,3.36,8.59,100.69,279.22,4
4771378,49.84,103.7,3.36,8.59,100.69,279.22,4
4779254,51.01,100.15,3.78,9.94,102.36,284.02,4
4779736,51.01,100.15,3.78,9.94,102.36,284.02,4
4780772,51.01,100.15,3.78,9.94,102.36,284.02,4
4782810,32.03,115.61,0.71,1.06,95.42,209.02,4
4790880,32.03,115.61,0.71,1.06,95.42,209.02,4
4791416,114.18,151.06,13.86,6.29,61.67,850.68,5
4791923,32.03,115.61,0.71,1.06,95.42,209.02,4
4792427,114.18,151.06,13.86,6.29,61.67,850.68,5
4792428,32.03,115.61,0.71,1.06,95.42,209.02,4
4792975,114.18,151.06,13.86,6.29,61.67,850.68,5
4793474,32.03,115.61,0.71,1.06,95.42,209.02,4
4801603,103.75,139.65,14.89,4.2,50.64,901.9,5
4802178,32.03,115.61,0.71,1.06,95.42,209.02,4
4802678,38.14,116.64,1.22,2.67,97.73,228.05,4
4803208,114.18,151.06,13.86,6.29,61.67,850.68,5
4803719,32.03,115.61,0.71,1.06,95.42,209.02,4
4803720,114.18,151.06,13.86,6.29,61.67,850.68,5
4804766,32.03,115.61,0.71,1.06,95.42,209.02,4
4804768,32.03,115.61,0.71,1.06,95.42,209.02,4
4805270,38.14,116.64,1.22,2.67,97.73,228.05,4
4814172,32.03,115.61,0.71,1.06,95.42,209.02,4
4814248,32.03,115.61,0.71,1.06,95.42,209.02,4
4814288,32.03,115.61,0.71,1.06,95.42,209.02,4
4816826,32.03,115.61,0.71,1.06,95.42,209.02,4
4834565,61.61,90.37,4.88,3.47,87.28,416.69,4
4834608,61.61,90.37,4.88,3.47,87.28,416.69,4
4837112,106.08,140.76,19.11,4.08,48.05,1018.71,5
4837114,61.61,90.37,4.88,3.47,87.28,416.69,4
4837115,106.08,140.76,19.11,4.08,48.05,1018.71,5
4837116,61.61,90.37,4.88,3.47,87.28,416.69,4
4837165,95.05,126.25,15.1,3.56,52.54,870.24,5
4837166,61.61,90.37,4.88,3.47,87.28,416.69,4
4838124,61.61,90.37,4.88,3.47,87.28,416.69,4
4845646,95.05,126.25,15.1,3.56,52.54,870.24,5
4845647,61.61,90.37,4.88,3.47,87.28,416.69,4
4846142,95.05,126.25,15.1,3.56,52.54,870.24,5
4846143,61.61,90.37,4.88,3.47,87.28,416.69,4
4847174,61.61,90.37,4.88,3.47,87.28,416.69,4
4847175,61.61,90.37,4.88,3.47,87.28,416.69,4
4847176,95.05,126.25,15.1,3.56,52.54,870.24,5
4847674,93.9,126.38,12.46,3.53,50.65,798.7,5
4848174,61.61,90.37,4.88,3.47,87.28,416.69,4
4848175,95.05,126.25,15.1,3.56,52.54,870.24,5
4849914,95.05,126.25,15.1,3.56,52.54,870.24,5
4852891,59.46,93.42,5.49,2.87,80.3,405.47,4
4854007,61.61,90.37,4.88,3.47,87.28,416.69,4
4854008,61.61,90.37,4.88,3.47,87.28,416.69,4
4854009,93.9,126.38,12.46,3.53,50.65,798.7,5
4854513,93.9,126.38,12.46,3.53,50.65,798.7,5
4854514,59.46,93.42,5.49,2.87,80.3,405.47,4
4855550,95.05,126.25,15.1,3.56,52.54,870.24,5
4855551,95.05,126.25,15.1,3.56,52.54,870.24,5
4865063,61.61,90.37,4.88,3.47,87.28,416.69,4
4866055,61.61,90.37,4.88,3.47,87.28,416.69,4
4867094,61.61,90.37,4.88,3.47,87.28,416.69,4
4875553,61.61,90.37,4.88,3.47,87.28,416.69,4
4876581,61.61,90.37,4.88,3.47,87.28,416.69,4
4877120,61.61,90.37,4.88,3.47,87.28,416.69,4
4884063,73.57,105.42,15.96,3.28,76.19,685.51,4
4889110,5.61,10.59,1.13,0.79,39.46,101.3,1
4897485,5.61,10.59,1.13,0.79,39.46,101.3,1
4908792,61.81,84.06,11.15,1.57,46.21,523.87,4
4916349,12.38,17.14,3.73,0.69,62.67,244.07,2
4917341,73.57,105.42,15.96,3.28,76.19,685.51,4
4952332,54.15,94.98,4.8,1.41,82.05,417.89,4
4997881,106.24,149.96,22.41,6.38,45.12,1014.54,5
5057509,3,7.57,3.95,1.36,30.74,125.66,1
5105944,7.14,11.85,1.81,0.68,38.48,140.28,1
5311872,32.03,115.61,0.71,1.06,95.42,209.02,4
5325356,73.57,105.42,15.96,3.28,76.19,685.51,4
5371016,73.57,105.42,15.96,3.28,76.19,685.51,4
5371017,73.57,105.42,15.96,3.28,76.19,685.51,4
5506835,10.92,12.6,16.83,4.82,8.63,402.29,2
5509787,10.92,12.6,16.83,4.82,8.63,402.29,2
5509788,10.92,12.6,16.83,4.82,8.63,402.29,2
5526280,1.02,1.08,0.47,0.09,15.6,126.21,1
5598104,10.92,12.6,16.83,4.82,8.63,402.29,2
5633032,10.92,12.6,16.83,4.82,8.63,402.29,2
5634500,10.92,12.6,16.83,4.82,8.63,402.29,2
5676345,10.92,12.6,16.83,4.82,8.63,402.29,2
5676826,10.92,12.6,16.83,4.82,8.63,402.29,2
5695597,10.92,12.6,16.83,4.82,8.63,402.29,2
5698877,11.4,15.55,7.44,3.15,28.92,377.69,2
5710077,10.92,12.6,16.83,4.82,8.63,402.29,2
5710078,11.12,13.08,15.82,4.93,12.74,404.9,2
5728639,42.83,71.84,14.96,2.51,66.1,498.65,3
5803519,114.18,151.06,13.86,6.29,61.67,850.68,5
5884439,114.18,151.06,13.86,6.29,61.67,850.68,5
5894629,2.19,4.61,0.62,0.13,25.36,131.1,1
5929186,39.16,64.51,12.59,1.96,62.84,444.61,3
5963701,42.83,71.84,14.96,2.51,66.1,498.65,3
6003651,1.93,5.97,0.2,0.26,37.09,81.99,1
6013125,39.16,64.51,12.59,1.96,62.84,444.61,3
delhi-anand-vihar,65.02,86.05,14.98,2,43.42,534.38,4
delhi-rk-puram,63.49,83.88,14.55,2.02,44.88,532.96,4
delhi-mandir-marg,65.02,86.05,14.98,2,43.42,534.38,4
delhi-ashok-vihar,64.16,85.82,13.21,1.87,50.04,497.83,4
bangalore-btm,10.21,15.65,12.71,2.67,13.81,271.05,2
bangalore-peenya,6.87,11.53,9.28,1.62,14.14,220.37,1
bangalore-yeshwanthpur,6.87,11.53,9.28,1.62,14.14,220.37,1
bangalore-whitefield,10.21,15.65,12.71,2.67,13.81,271.05,2
mumbai-bandra,1.33,4.65,0.07,0.14,40.81,82.67,1
mumbai-kurla,1.33,4.65,0.07,0.14,40.81,82.67,1
mumbai-borivali,1.34,4.68,0.14,0.28,40.75,82.96,1
mumbai-dadar,1.33,4.65,0.07,0.14,40.81,82.67,1
